# Numerical radiation field:  ISRF
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
91.20000 2.83384e+05
92.20000 3.76370e+05
93.20000 4.68067e+05
94.20000 5.58049e+05
95.20000 6.45967e+05
96.20000 7.31539e+05
97.20000 8.14544e+05
98.20000 8.94811e+05
99.20000 9.72209e+05
100.20000 1.04665e+06
101.20000 1.11807e+06
102.20000 1.18643e+06
103.20000 1.25173e+06
104.20000 1.31398e+06
105.20000 1.37319e+06
106.20000 1.42941e+06
107.20000 1.48268e+06
108.20000 1.53306e+06
109.20000 1.58062e+06
110.20000 1.62542e+06
111.20000 1.66755e+06
112.20000 1.70708e+06
113.20000 1.74409e+06
114.20000 1.77866e+06
115.20000 1.81088e+06
116.20000 1.84083e+06
117.20000 1.86859e+06
118.20000 1.89425e+06
119.20000 1.91790e+06
120.20000 1.93960e+06
121.20000 1.95944e+06
122.20000 1.97751e+06
123.20000 1.99386e+06
124.20000 2.00859e+06
125.20000 2.02176e+06
126.20000 2.03344e+06
127.20000 2.04369e+06
128.20000 2.05260e+06
129.20000 2.06021e+06
130.20000 2.06659e+06
131.20000 2.07180e+06
132.20000 2.07590e+06
133.20000 2.07894e+06
134.20000 2.08097e+06
135.20000 2.08205e+06
136.20000 2.08222e+06
137.20000 2.08153e+06
138.20000 2.08003e+06
139.20000 2.07776e+06
140.20000 2.07476e+06
141.20000 2.07107e+06
142.20000 2.06673e+06
143.20000 2.06177e+06
144.20000 2.05623e+06
145.20000 2.05015e+06
146.20000 2.04355e+06
147.20000 2.03646e+06
148.20000 2.02892e+06
149.20000 2.02095e+06
150.20000 2.01258e+06
151.20000 2.00384e+06
152.20000 1.99474e+06
153.20000 1.98531e+06
154.20000 1.97558e+06
155.20000 1.96555e+06
156.20000 1.95527e+06
157.20000 1.94473e+06
158.20000 1.93397e+06
159.20000 1.92299e+06
160.20000 1.91182e+06
161.20000 1.90047e+06
162.20000 1.88895e+06
163.20000 1.87729e+06
164.20000 1.86548e+06
165.20000 1.85356e+06
166.20000 1.84152e+06
167.20000 1.82937e+06
168.20000 1.81714e+06
169.20000 1.80483e+06
170.20000 1.79245e+06
171.20000 1.78002e+06
172.20000 1.76753e+06
173.20000 1.75499e+06
174.20000 1.74243e+06
175.20000 1.72983e+06
176.20000 1.71722e+06
177.20000 1.70459e+06
178.20000 1.69196e+06
179.20000 1.67933e+06
180.20000 1.66670e+06
181.20000 1.65408e+06
182.20000 1.64148e+06
183.20000 1.62890e+06
184.20000 1.61635e+06
185.20000 1.60383e+06
186.20000 1.59134e+06
187.20000 1.57889e+06
188.20000 1.56648e+06
189.20000 1.55411e+06
190.20000 1.54180e+06
191.20000 1.52953e+06
192.20000 1.51732e+06
193.20000 1.50516e+06
194.20000 1.49307e+06
195.20000 1.48103e+06
196.20000 1.46906e+06
197.20000 1.45716e+06
198.20000 1.44532e+06
199.20000 1.43355e+06
200.20000 1.43385e+06
201.20000 1.43886e+06
202.20000 1.44386e+06
203.20000 1.44885e+06
204.20000 1.45384e+06
205.20000 1.45882e+06
206.20000 1.46379e+06
207.20000 1.46876e+06
208.20000 1.47372e+06
209.20000 1.47867e+06
210.20000 1.48361e+06
211.20000 1.48855e+06
212.20000 1.49348e+06
213.20000 1.49840e+06
214.20000 1.50332e+06
215.20000 1.50823e+06
216.20000 1.51313e+06
217.20000 1.51803e+06
218.20000 1.52292e+06
219.20000 1.52780e+06
220.20000 1.53267e+06
221.20000 1.53754e+06
222.20000 1.54241e+06
223.20000 1.54726e+06
224.20000 1.55211e+06
225.20000 1.55695e+06
226.20000 1.56179e+06
227.20000 1.56662e+06
228.20000 1.57144e+06
229.20000 1.57626e+06
230.20000 1.58107e+06
231.20000 1.58588e+06
232.20000 1.59068e+06
233.20000 1.59547e+06
234.20000 1.60025e+06
235.20000 1.60503e+06
236.20000 1.60981e+06
237.20000 1.61457e+06
238.20000 1.61934e+06
239.20000 1.62409e+06
240.20000 1.62884e+06
241.20000 1.63359e+06
242.20000 1.63832e+06
243.20000 1.64306e+06
244.20000 1.64778e+06
245.20000 1.65250e+06
246.20000 1.65722e+06
247.20000 1.66193e+06
248.20000 1.66663e+06
249.20000 1.67133e+06
250.20000 1.67602e+06
251.20000 1.68071e+06
252.20000 1.68539e+06
253.20000 1.69006e+06
254.20000 1.69473e+06
255.20000 1.69940e+06
256.20000 1.70405e+06
257.20000 1.70871e+06
